id,en_sentence,influence,influence_lang,influenced_sentence
23,A Black passenger says he asked a flight attendant if he could change seats if any were open.,1,fr,Un passager noir dit qu'il a demandé à un agent de bord s'il pouvait changer de siège s'il y en avait un ouvert.
24,"A booby-trapped tanker truck exploded in the Syrian city of Afrin, killing or injuring dozens of civilians (Tuesday, April 28, 2020).",0,es,"Un camión cisterna con trampa explosiva explotó en la ciudad siria de Afrin, matando o hiriendo a docenas de civiles (martes 28 de abril de 2020)."
25,"About $1.07billion is required to construct Section V of the East-West Road, Oron in Akwa Ibom state to Calabar, Cross River State.",1,fr,"Environ 1,07milliard de dollars est nécessaire pour construire la section V du chemin Est-Ouest, Oron dans l'État d'Akwa Ibom à Calabar, État de Cross River."
26,"About 46,000 people were paid a total of 20 million pounds — the equivalent of 40 percent of all annual government spending at the time — after the freeing of slaves in British colonies in the Caribbean, Mauritius and southern Africa.",0,es,"A unas 46.000 personas se les pagó un total de 20 millones de libras — el equivalente al 40% de todo el gasto anual del gobierno en ese momento — después de la liberación de esclavos en colonias británicas en el Caribe, Mauricio y el sur de África."
27,"About 7,000 have been quarantined in the central Punjab city Lahore, while in southern Sindh province up to 8,000 Tablighis have been quarantined, government officials said.",0,es,"Alrededor de 7.000 han sido puestos en cuarentena en la ciudad central de Punjab, Lahore, mientras que en el sur de la provincia de Sindh hasta 8.000 Tablighis han sido puestos en cuarentena, dijeron funcionarios del gobierno."
28,"About a half of them I wrote within a week, and I think that helps to make it feel like it was all the same thing.",1,fr,"Environ la moitié d'entre eux que j'ai écrit en une semaine, et je pense que cela aide à faire sentir que c'était la même chose."
29,"“About to end a decade long relationship with,” wrote another.",0,es,"“A punto de terminar una relación de una década”, escribió otro."
30,"About two weeks later, Alden entered the Avidia Savings Bank on Maple Street in Marlborough and told the tellers, “Give me all your money so no one gets hurt.",1,fr,"Environ deux semaines plus tard, Alden est entré à l'Avidia Savings Bank sur Maple Street à Marlborough et a dit aux scrutateurs, ""Donnez-moi tout votre argent pour que personne ne soit blessé."
31,"ABOVE PHOTO: A boy stands in front of two paintings of Chadwick Boseman during the opening of an art exhibit honoring the actor in his hometown of Anderson, S.C. on Thursday, Oct. 22, 2020.",1,fr,"ABOVE PHOTO: Un garçon se tient devant deux tableaux de Chadwick Boseman lors de l'ouverture d'une exposition d'art en l'honneur de l'acteur dans sa ville natale d'Anderson, S.C., le jeudi 22 octobre 2020."
32,Absence may be making the heart grow fonder.,1,fr,L'absence peut faire grandir le cœur.
33,"ABS head of household surveys Michelle Marquardt said the majority of funds were either used to pay household bills, put into savings or spent on food consumption.",1,fr,"ABS chef des enquêtes auprès des ménages Michelle Marquardt a déclaré que la majorité des fonds étaient utilisés soit pour payer les factures des ménages, soit pour réaliser des économies, soit pour la consommation alimentaire."
34,A building along with three vehicles were shot at.,1,fr,Un bâtiment et trois véhicules ont été abattus.
35,A ‘call-in’ enables councillors to ask for a decision the cabinet has taken to be looked at again.,0,es,Un llamado permite a los concejales pedir una decisión que el gabinete ha tomado para ser examinado de nuevo.
36,"A calls Patty's presence in the trailer a ""minstrel show.""",0,es,"A llama a la presencia de Patty en el tráiler un ""espectaculo minstrel""."
37,"A candidate using populist slogans that plays to people’s fears (Jews are dangerous, for example), people not convinced that he can actually win and think the voters can see through his lies, and so on.",0,es,"Un candidato que utiliza eslóganes populistas que juegan a los miedos de la gente (los judíos son peligrosos, por ejemplo), la gente no está convencida de que realmente puede ganar y pensar que los votantes pueden ver a través de sus mentiras, y así sucesivamente."
38,A candid insight from Greg Dyke into his managerial style while he was director-general of the BBC.,0,es,Una visión sincera de Greg Dyke en su estilo de gestión mientras era director general de la BBC.
39,"A car carrying Atambayev, who participated at the bloc's rally, was hit with ""live ammunition"" according to his spokeswoman Joldubayeva, who was also at the rally.",0,es,"Un coche que transportaba Atambayev, que participó en el mitin del bloque, fue golpeado con ""municiones en vivo"" según su portavoz Joldubayeva, quien también estaba en el mitin."
40,"A car with the message ""CCP is the real source of the virus"" in Chinese and English driving through Melbourne during an End CCP car rally on Dec. 20, 2020.",1,fr,"Une voiture avec le message ""CCP est la vraie source du virus"" en chinois et en anglais conduisant à travers Melbourne lors d'un rallye de voiture Fin CCP le 20 décembre 2020."
41,"Accessing employment was difficult for many trans people in non-pandemic times and the economic slowdown has had a severe impact on many in the community, added Peek.",0,es,"El acceso al empleo fue difícil para muchas personas trans en tiempos no pandémicos y la desaceleración económica ha tenido un grave impacto en muchos en la comunidad, agregó Peek."
42,Accies capitalised on their dominance to double their advantage in the 27th minute.,0,es,Accionamientos capitalizados en su dominio para duplicar su ventaja en el minuto 27.
43,"Accompanied by a music video, it is the perfect homage to the state's beautiful winters.",1,fr,"Accompagné d'un clip vidéo, c'est l'hommage parfait aux beaux hivers de l'État."
44,"Accordingly, I am, once again, calling upon the current government to start a conversation on crime and the penal system, as part of an effort to develop a credible crime fighting strategy.",0,es,"En consecuencia, una vez más pido al Gobierno actual que inicie una conversación sobre la delincuencia y el sistema penal, como parte de un esfuerzo por desarrollar una estrategia creíble de lucha contra la delincuencia."
45,"Accordingly, we have instructed our lawyers to formally request the judge to have the next hearing in open court and have this settled before the date of hearing so that everyone who wants to attend can attend and hear the legal arguments.",1,fr,"Par conséquent, nous avons demandé à nos avocats de demander officiellement au juge de tenir la prochaine audience en audience publique et de faire en sorte que cela soit réglé avant la date de l'audience afin que tous ceux qui veulent y assister puissent assister et entendre les arguments juridiques."
46,"According to a BYU spokesman, Clay hasn't been employed at the university since mid-April, Daily Mail reported.",1,fr,"Selon un porte-parole du BYU, Clay n'a pas été employé à l'université depuis la mi-avril, a rapporté Daily Mail."
47,"According to a flier posted to Facebook a march will go on the sidewalk from Main Street to Milwaukee Street, to Division Street, down Second Street and back to 10 Club Park.",0,es,"Según un volante publicado en Facebook, una marcha irá en la acera de la calle Main Street a Milwaukee Street, a Division Street, por la calle Second Street y de regreso a 10 Club Park."
48,"According to Amanke, Gov. Ben Ayade carefully selected members of the board for the job of promoting secondary education.",0,es,"Según Amanke, el gobernador Ben Ayade seleccionó cuidadosamente a los miembros de la junta para promover la educación secundaria."
49,"According to a release from the Jefferson County Coroner’s Office, the accident occurred in the early-morning hours of Friday, Nov. 27, as William Wayne Lynn drove his Jeep Wrangler into Coleman Lake in McCalla.",0,es,"De acuerdo con una liberación de la Oficina del forense del condado de Jefferson, el accidente ocurrió en las primeras horas del viernes 27 de noviembre, cuando William Wayne Lynn condujo su Jeep Wrangler hacia Coleman Lake en McCalla."
50,"According to a release from the service, officers were called to a business in the 1100 block of Angus just after 10 p.m. following reports of a woman outside the business who appeared to be intoxicated and causing a disturbance.",1,fr,"Selon une libération du service, des agents ont été appelés dans une entreprise dans le bloc 1100 d'Angus juste après 22 heures après les rapports d'une femme en dehors de l'entreprise qui semblait être enivrée et causant une perturbation."
51,"According to a report from the Los Alamos Lab, it was decided “extensive inquiry into such details would indicate the concern of the program…with the possibility of milk contamination and alarm an already worried community.”",1,fr,"Selon un rapport du Los Alamos Lab, il a été décidé qu'une enquête approfondie sur ces détails indiquerait la préoccupation du programme...avec la possibilité de contamination du lait et alarmer une communauté déjà inquiète."
52,"According to Arya, nearly 500 beds are available across the district in tertiary healthcare settings and a CRPF hospital.",1,fr,"Selon Arya, près de 500 lits sont disponibles dans l'ensemble du district dans des établissements de soins de santé tertiaires et un hôpital CRPF."
53,"According to Burna, the same people who wish him well to his face secretly want him to fail.",1,fr,"Selon Burna, les mêmes personnes qui le souhaitent bien à son visage veulent secrètement qu'il échoue."
54,"According to documents in the author’s possession, during 2017 Uztex negotiated an order for US$84 million in textile machinery from Rieter.",0,es,"Según documentos en poder del autor, durante 2017 Uztex negoció una orden de US$84 millones en maquinaria textil de Rieter."
55,"According to 'Entertainment Weekly,' Jenkins has signed on to direct a follow-up to Jon Favreau's 2019 film.",1,fr,"Selon 'Entertainment Weekly,' Jenkins s'est engagé à réaliser un suivi du film 2019 de Jon Favreau."
56,"According to former state epidemiologist Michael Osterholm, whom Walz has advertised among his brain trust, the virus will infect some 70 percent of Minnesotans.",1,fr,"Selon l'ancien épidémiologiste d'État Michael Osterholm, que Walz a annoncé parmi sa confiance dans le cerveau, le virus infectera environ 70 pour cent des Minnesotans."
57,"According to Giuffre’s recollection, all of the instances with Prince Andrew occurred while she was a teenager.",0,es,"Según el recuerdo de Giuffre, todos los casos con el príncipe Andrés ocurrieron cuando era adolescente."
58,"According to global statistics, the online gambling industry is expected to grow from $58.9 billion in 2019 to $66.7 billion in 2020.",1,fr,"Selon les statistiques mondiales, l'industrie du jeu en ligne devrait passer de 58,9 milliards de dollars en 2019 à 66,7 milliards de dollars en 2020."
59,According to he disabled the alarm system and began unpacking his bags and charging his phone before being caught.,1,fr,"Selon lui, il a désactivé le système d'alarme et a commencé à déballer ses bagages et à charger son téléphone avant d'être pris."
60,"“According to hospital management, he never worked without supervision, and was also not allowed to prescribe medication.",0,es,"“Según la dirección del hospital, nunca trabajó sin supervisión, y tampoco se le permitió prescribir medicamentos."
61,"According to media reports, a minor was raped in Lakhimpur district and her nose was slit.",0,es,"Según informes de los medios de comunicación, una menor fue violada en el distrito de Lakhimpur y le cortaron la nariz."
62,"According to official data, an area the size of South Korea has now been destroyed by the bushfires.",1,fr,"Selon les données officielles, une zone de la taille de la Corée du Sud a maintenant été détruite par les feux de brousse."
63,"According to our guidance, we expect to maintain the key ECB interest rates “at their present or lower level until the inflation outlook robustly converges to a level sufficiently close to, but below, 2% within the projection horizon.”",1,fr,"Selon nos orientations, nous nous attendons à maintenir les taux d'intérêt clés de la BCE à leur niveau actuel ou inférieur jusqu'à ce que les perspectives d'inflation convergent fortement à un niveau suffisamment proche, mais inférieur, de 2% à l'intérieur de l'horizon de projection."
64,"According to police, White inserted himself into a dangerous situation, but his family said he’s a political prisoner in his own state.",0,es,"Según la policía, White se insertó en una situación peligrosa, pero su familia dijo que era un preso político en su propio estado."
65,"According to reports, Professor Akanbi was a lecturer at the Department of Business Law, Faculty of Law at the University of Ilorin prior to his new appointment.",1,fr,"Selon les rapports, le professeur Akanbi était professeur au Département de droit des affaires de la Faculté de droit de l'Université d'Ilorin avant sa nouvelle nomination."
66,"According to Sky Sports, of the pair it is Havertz who “is the one who is most keen to move as soon as possible”.",1,fr,"Selon Sky Sports, de la paire c'est Havertz qui est celui qui est le plus désireux de bouger dès que possible."
67,"According to sources, the couple was in contact with the ISIS unit from Afghanistan's Khorasan province and they were allegedly planning to carry out a suicide attack in Delhi.",0,es,"Según fuentes, la pareja estaba en contacto con la unidad ISIS de la provincia khorasan de Afganistán y supuestamente estaban planeando llevar a cabo un ataque suicida en Delhi."
68,"According to the arrest report, Eason committed assault “with a deadly weapon, a Springfield handgun, by hitting James Spivey in the back of the neck and on his back with the handgun.”",0,es,"Según el informe de arresto, Eason cometió un ataque “con un arma mortal, una pistola de Springfield, golpeando a James Spivey en la nuca y en la espalda con la pistola”."
69,"According to the Board of Cosmetology, they are working together to connect business owners with assistance.",1,fr,"Selon le Conseil de cosmétologie, ils travaillent ensemble pour relier les propriétaires d'entreprise à l'aide."
70,"According to the casting call, Ryan Wilder is a female in her mid-late 20s and the complete opposite of Kate Kane.",1,fr,"Selon l'appel de casting, Ryan Wilder est une femme au milieu de la vingtaine et le contraire de Kate Kane."
71,"According to the CIO, HHS Protect coordinates data from 6,200 hospitals across the United States, including numbers of ventilators, hospital beds, ER admittance, and discharge, lab test data across the U.S., warehouse implications, and nursing home data.",0,es,"Según el CIO, HHS Protect coordina los datos de 6.200 hospitales de los Estados Unidos, incluyendo el número de ventiladores, camas de hospital, admisión de urgencias y alta, datos de pruebas de laboratorio en los Estados Unidos, implicaciones en los almacenes y datos de residencias de ancianos."
72,"According to the Cross Bore Safety Association, this is not an uncommon condition and, although statistics vary, some estimates suggest that it occurs at an average rate of 0.4 cross-bores per mile of sewer line.",1,fr,"Selon la Cross Bore Safety Association, il ne s'agit pas d'un problème rare et, bien que les statistiques varient, certaines estimations suggèrent qu'il se produit à un taux moyen de 0,4 bore par mille de canalisation d'égout."
73,"According to the DeKalb County Police, she sent text messages to the father threatening to kill the child and said she already had.",1,fr,"Selon la police du comté de DeKalb, elle a envoyé des SMS au père menaçant de tuer l'enfant et a dit qu'elle l'avait déjà fait."
74,"According to the email from Teague, many students and passersby agree that the cleanup was unnecessary.",1,fr,"Selon le courriel de Teague, beaucoup d'étudiants et de passants conviennent que le nettoyage était inutile."
75,"According to the International Meteor Organisation, the showers that are currently active are the Southern Taurids, the Northern Taurids and the Leonids.",0,es,"Según la Organización Internacional de Meteorología, las lluvias que actualmente están activas son los Taurid del Sur, los Taurid del Norte y los Leonidas."
76,"According to the labourer, the bandits escaped with $70,000 in cash, a Seiko wrist watch valued at $60,000, two pairs of gold earrings and a quantity of artificial jewellery.",0,es,"Según el obrero, los bandidos escaparon con 70.000 dólares en efectivo, un reloj de muñeca Seiko valorado en 60.000 dólares, dos pares de pendientes de oro y una cantidad de joyas artificiales."
77,"According to the MTN Rules and Regulations, a game will not continue if there are over five cases.",1,fr,"Selon les règles et règlements du MTN, un jeu ne se poursuivra pas s'il y a plus de cinq cas."
78,"According to the organization, the Hockey Nova Scotia Award of Merit is presented to an individual who has served hockey faithfully and made a significant contribution to the game.",0,es,"Según la organización, el Hockey Nueva Escocia Premio del Mérito se presenta a una persona que ha servido el hockey fielmente y ha hecho una contribución significativa al juego."
79,"According to the President of the Eniong Abatim Association, since the woman has merited the position of Chief Judge as part of her career, she should not be denied since there is nothing incriminating against her.",0,es,"Según la Presidenta de la Asociación Eniong Abatim, dado que la mujer ha merecido el cargo de Jueza Principal como parte de su carrera, no se le debe negar, ya que no hay nada que la incrimine."
80,"According to the professors, biomimicry is the intersection of biology and engineering.",1,fr,"Selon les professeurs, le biomimétisme est l'intersection de la biologie et de l'ingénierie."
81,"According to the release, the test was administered by a nurse and results will be sent within three to five days.",1,fr,"Selon la libération, le test a été administré par une infirmière et les résultats seront envoyés dans les trois à cinq jours."
82,"According to the report, doctors, “other professionals” and their accompanying family members were sent back to North Korea between Nov. 2019 and Feb. 2020 after Angola “renounced the bilateral cooperation agreement in the field of health with the DPRK.”",0,es,"Según el informe, los médicos, “otros profesionales” y sus familiares acompañantes fueron enviados de vuelta a Corea del Norte entre noviembre de 2019 y febrero de 2020 después de que Angola “renunció el acuerdo bilateral de cooperación en el campo de la salud con la República Popular Democrática de Corea”."
83,"According to the reports, she was said to have called it quit as a nun two months ago before going on to release her pre-wedding photos.",1,fr,"D'après les rapports, elle aurait dit qu'elle avait arrêté de fumer en tant que nonne il y a deux mois avant de publier ses photos d'avant-mariage."
84,"According to the statement, Governor Abiodun, However, was able to convince officials of the Bank that he would see to the judicious application of the fund with the developmental programmes, already earmarked for execution in various parts of the State.",0,es,"Según la declaración, el Gobernador Abiodun, sin embargo, pudo convencer a los funcionarios del Banco de que se encargaría de la aplicación juiciosa del fondo con los programas de desarrollo, ya destinados a la ejecución en diversas partes del Estado."
85,"According to the statement, Muri was a recipient of many commendations for excellent performance, the latest of which was the DIG’s Commendation for Devotion and Adherence to Constitutional Duty and Core Values of the Nigeria Police Force in 2015.",1,fr,"Selon cette déclaration, Muri a reçu de nombreuses félicitations pour ses excellents résultats, dont la dernière en date a été la Mention élogieuse pour la dévotion et l'adhésion aux devoirs constitutionnels et aux valeurs fondamentales de la police nigériane en 2015."
86,According to the study: “There is a preference for lifestyle modification to achieve weight loss”.,1,fr,Selon l'étude: Il ya une préférence pour la modification du mode de vie pour atteindre la perte de poids.
87,"According to the top court, shortfalls in the party's accounting in 2014 and 2015 did not allow to establish the origin of the money taken from the party's cash box to a bank and paid into the party's bank account.",1,fr,"Selon le tribunal de première instance, les lacunes dans la comptabilité de la partie en 2014 et 2015 n'ont pas permis d'établir l'origine de l'argent pris de la caisse de la partie à une banque et versé sur le compte bancaire de la partie."
88,"According to WCPO, six male students were cited during the bust.",0,es,"Según la WCPO, seis estudiantes varones fueron citados durante el arresto."
89,AC/DC: ‘We’ve never had anything but great times in Ireland’,0,es,AC/DC: “Nunca hemos tenido nada más que grandes momentos en Irlanda”
90,A certificate of deposit is a deposit you make with a bank that includes the promise that you won’t withdraw the money for a set period of time.,0,es,Un certificado de depósito es un depósito que usted hace con un banco que incluye la promesa de que usted no retirará el dinero por un período de tiempo establecido.
91,A cheaper Xbox might sway some PlayStation fans.,1,fr,Une Xbox moins chère pourrait ébranler certains fans de PlayStation.
92,A Chinese corporation promised to replace thousands of faulty Coronavirus test kits.,1,fr,Une société chinoise a promis de remplacer des milliers de kits de test Coronavirus défectueux.
93,A class ring found at the side of an Oklahoma road was returned to its owner -- a New Mexico woman who hadn't seen the ring in more than 35 years.,0,es,"Un anillo de clase encontrado al lado de una carretera de Oklahoma fue devuelto a su dueño, una mujer de Nuevo México que no había visto el anillo en más de 35 años."
94,A clinic in Cameroon’s capital provides rare trauma therapy for those affected.,0,es,Una clínica en la capital de Camerún proporciona terapia traumática rara para los afectados.
95,"Acne is one of the most common skin conditions, affecting more than 9% of the population.",0,es,"El acné es una de las afecciones más comunes de la piel, afectando a más del 9% de la población."
96,"A coalition of civil society organizations has called for the immediate resignation of the Deputy Senate President, Sen. Ovie Omo-Agege for concealing his conviction by the State Bar Court of California, from INEC and the Nigerian Senate.",0,es,"Una coalición de organizaciones de la sociedad civil ha pedido la renuncia inmediata del vicepresidente del Senado, la Senadora Ovie Omo-Agege, por ocultar su condena por parte del Tribunal Estatal de Abogados de California, del INEC y del Senado de Nigeria."
97,A collection that began in childhood is now the focus of a new exhibit at the Bryant Museum on the campus of The University of Alabama.,1,fr,Une collection qui a commencé dans l'enfance est maintenant au centre d'une nouvelle exposition au Bryant Museum sur le campus de l'Université d'Alabama.
98,A company statement indicated locations west of Toronto would reopen as soon as Stage 3 rules take effect in the region.,1,fr,Une déclaration de la compagnie indiquait que les emplacements situés à l'ouest de Toronto rouvriraient dès que les règles de l'étape 3 entreraient en vigueur dans la région.
99,"A concealed-carry license holder who knows the woman fired shots at them, but no one was injured.",0,es,"Un titular de la licencia de conducir oculto que sabe que la mujer disparó contra ellos, pero nadie resultó herido."
100,A cop confirmed the scam.,0,es,Un policía confirmó la estafa.
101,Acosta said he doesn’t vote in the presidential election so as to keep himself a “news monk.”,0,es,Acosta dijo que no vota en las elecciones presidenciales para mantenerse como un “monje de las noticias”.
102,"A couple accused of murdering their adopted son in India for his life insurance payout cannot be extradited because it would breach their human rights, British judges ruled yesterday.",0,es,"Una pareja acusada de asesinar a su hijo adoptivo en la India por el pago de su seguro de vida no puede ser extraditada porque violaría sus derechos humanos, declararon ayer los jueces británicos."
103,A couple of specific soundbites had me marking out.,1,fr,Quelques sonorités spécifiques m'ont fait marquer.
104,A couple people noted classes take at least six months and certification requirements keep getting tougher.,0,es,Un par de personas notaron que las clases tardan al menos seis meses y los requisitos de certificación se hacen cada vez más estrictos.
105,"""A crisis is a moment when the nation needs you.""",0,es,"""Una crisis es un momento en que la nación te necesita""."
106,"Across the border in Virginia, Carroll County has 245 confirmed cases with 9 deaths, Galax has 287 with 16 deaths, Grayson County has 91 cases and 4 deaths, while Patrick County has 48 cases and 1 death.",0,es,"Al otro lado de la frontera en Virginia, el condado de Carroll tiene 245 casos confirmados con 9 muertes, Galax tiene 287 con 16 muertes, el condado de Grayson tiene 91 casos y 4 muertes, mientras que el condado de Patrick tiene 48 casos y 1 muerte."
107,"“Across the U.S. more than 43,000 companies employing 2 million Americans, export products to Canada and Mexico,” Kent said.",0,es,"“En Estados Unidos, más de 43.000 empresas que emplean a 2 millones de estadounidenses exportan productos a Canadá y México”, dijo Kent."
108,"Acting on PPMC’s advise, Chairman of IPMAN Kano, Bauchi, Jigawa and Katsina States, Bashir Dan-Mallam, ordered for an upward review of petrol price.",0,es,"Siguiendo el consejo del PPMC, el presidente de los estados de IPMAN Kano, Bauchi, Jigawa y Katsina, Bashir Dan-Mallam, ordenó una revisión al alza del precio de la gasolina."
109,Activate your account by confirming your email address.,1,fr,Activez votre compte en confirmant votre adresse e-mail.
110,Actress and political activist Eva Longoria won praise for her hosting abilities on the first night of the Democratic National Convention last night.,0,es,La actriz y activista política Eva Longoria ganó elogios por sus habilidades como anfitriona en la primera noche de la Convención Nacional Democrática anoche.
111,"Actress Sonam Kapoor's sister and producer of ""Veere Di Wedding Rhea Kapoor commented: ""Texture bro.""",0,es,"La hermana de la actriz Sonam Kapoor y productora de ""Veere Di Wedding Rhea Kapoor comentó: ""Texture bro""."
112,Adams immediately motioned to be replaced and angrily threw his helmet to the ground.,0,es,Adams inmediatamente hizo un gesto para ser reemplazado y airado arrojó su casco al suelo.
113,"Adams-Kaonohi, who set a career-high with 55 assists against TCU, was also vocal on the team’s mental progression throughout the match.",0,es,"Adams-Kaonohi, que estableció una carrera alta con 55 asistencias contra la TCU, también fue vocal en la progresión mental del equipo durante todo el partido."
114,Adams said she was looking forward to a visit by a Department of Health to screen residents in the area on Tuesday.,0,es,Adams dijo que esperaba con interés una visita de un Departamento de Salud para examinar a los residentes de la zona el martes.
115,"Adapted by Mamet from his own stage play, is a dramatic two-hander starring William H. Macy and Debra Eisenstadt as a professor and student grappling over their opaque sexual relationship.",0,es,"Adaptado por Mamet de su propia obra escénica, es un dramático de dos manos protagonizado por William H. Macy y Debra Eisenstadt como profesor y estudiante luchando por su opaca relación sexual."
116,Adaptive cruise control and GM's safety alert seat will be available on upper trims.,1,fr,Le régulateur de vitesse adaptatif et le siège d'alerte de sécurité de GM seront disponibles sur les garnitures supérieures.
117,Add a little lap steel and piano to taste.,1,fr,Ajoutez un peu d'acier lap et de piano au goût.
118,"Added GSA partner Michael Gorfaine, “She had all this talent as a representative and, as a colleague, she was detail-oriented and homework-driven — and had all that wrapped around a core of loving music, decency and integrity.",0,es,"Añadió Michael Gorfaine, socio de GSA, “Tenía todo este talento como representante y, como colega, estaba orientada a los detalles y a los deberes —y tenía todo eso envuelto en un núcleo de música amorosa, decencia e integridad."
119,Add flour and stir; allow to cook for 1 to 2 minutes.,0,es,Agregue la harina y revuelva; deje cocer durante 1 a 2 minutos.
120,"Add in the human element with misunderstandings, mistakes, and sometimes conflict with nowhere else to go.",0,es,"Agregue el elemento humano con malentendidos, errores, y a veces conflicto con ningún otro lugar a donde ir."
121,"Addis Ababa — The Chinese prominent Steel industry, firm, Chongqing Iron and Steel Design Institute (CISDI Group Co., Ltd.), expressed interest to look into the possibility of investment in Ethiopia on Iron and Steel sector.",1,fr,"Addis-Abeba — La société chinoise de pointe dans le secteur de l'acier, Chongqing Iron and Steel Design Institute (CISDI Group Co., Ltd.), a exprimé son intérêt à étudier la possibilité d'investir en Éthiopie dans le secteur du fer et de l'acier."
122,Additional flavors will be developed.,1,fr,D'autres saveurs seront développées.
123,"Additional information regarding these risks can be found in our Annual Report on Form 10-K for the year ended December 31, 2019.",1,fr,Vous trouverez d'autres renseignements sur ces risques dans notre rapport annuel sur le formulaire 10-K pour l'exercice terminé le 31 décembre 2019.
